Model,Category,MAE,RMSE,nRMSE,Train Time (s),Inference per 24h (s)
TabPFN,Tabular FM,0.0199000821843189,0.0339538047232637,0.039501070918686,10.665072917938232,0.031695311058295164
MLP,Baseline,0.0209454831560208,0.0344644649371963,0.0400951622180125,3.209635257720948,0.00014520251135311175
LightGBM (tuned),Baseline,0.0208952656983618,0.034538918210811,0.0401817794363179,64.60440182685852,0.0001672489542356676
LightGBM,Baseline,0.0211754709305764,0.0348225164628401,0.0405117110902859,0.2338068485260009,6.715008910273145e-05
"Chronos-2 (fine-tuned, 1h)",TSFM (fine-tuned),0.0242529748427392,0.0387593308873811,0.0450917100330179,357.9280710220337,6.8628900263790795
Chronos-2 (fine-tuned),TSFM (fine-tuned),0.0304283470053878,0.060165167230142,0.0699947654595052,237.22684693336487,0.33431436086484523
Chronos-2,TSFM (zero-shot),0.0307898520508391,0.0610263433347613,0.0709966378424338,0.0,0.13635379943489467
TimesFM,TSFM (zero-shot),0.034215895501367,0.0642017472096599,0.0746908293438476,0.0,0.1701994669829176
Moirai,TSFM (zero-shot),0.2400506755583643,0.324702117734476,0.3777509416385887,0.0,0.3836332845016265
